id,sku,group_code,product_name,description,weight,sale_price,regular_price,categories,Subcategories,stock_quantity,STATUS,images, Γεύση,ΣΥΣΚΕΥΑΣΙΑ
6078,4335-81803,,Καρφάκια Spikes 7mm (Σετ 12τμχ),,,2.8,2.8,AMILA, Sports; Δρόμος; Στίβος,-21,A,"https://madfit.gr/wp-content/uploads/2024/02/81803.jpg,https://madfit.gr/wp-content/uploads/2024/02/81803_1.jpg",,
6081,4753-41951,,Σημαία Κόρνερ Σπαστό Στύλο με Καρφί ABS,,,16.5,16.5,AMILA, Sports; Εξοπλισμός Γηπέδου Ποδοσφαίρου; Ποδόσφαιρο,4,A,"https://madfit.gr/wp-content/uploads/2024/02/41951.jpg,https://madfit.gr/wp-content/uploads/2024/02/41951_1.jpg,https://madfit.gr/wp-content/uploads/2024/02/41951_2.jpg",,
6085,20830-88183,,Σετ Εκγύμνασης Χεριών-Ποδιών Octopus Μαλακό,"<p><html><head></head><body></p>
<p><strong>Επίτευξη Πολλαπλών Σκοπών!</strong>
</p>
<p>Ενισχύστε στην εκρηκτική δύναμη των βραχιόνων, των ποδιών  και της μέσης σας, βελτιώστε την ταχύτητα της κίνησης, της ευκινησίας των λακτισμάτων σας ενώ ταυτόχρονα θα βελτιώνετε την ισορροπία του σώματος σας. Αυξήστε το φορτίου του σώματος σας, αυξάνοντας την ένταση της προπόνησης με τελικό σκοπό την βελτίωση της αποτελεσματικότητας της.</p>
<p><strong>Αντοχή Ασφάλεια Άνεση!</strong></p>
<p>Τα μαξιλάρια είναι αρκετά άνετα για να μην σας ενοχλούν αλλά να ασφαλίζουν πάνω σας για να μένετε απερίσπαστοι στην προπόνηση σας. Τα λάστιχα έχουν προστατευτικό μανίκι για να προστατεύονται, αλλά να είστε και εσείς προστατευμένοι σε περίπτωση σπασίματος.</p>
<p>
<strong>Εύκολη τοποθέτηση, προσαρμογή, αφαίρεση!</strong></p>
<p>Η ζώνη μέσης, οι δέστρες χεριών και ποδιών μπορούν να προσαρμοστούν πάνω σας, κάνοντας σχεδόν σε όλους (one size fits all)</p>
<p><strong>Κατάλληλο Για:</strong>
</p>
<p>Προπόνηση αντίστασης για MMA, Boxing, Tae Kwon do, Muay Thai, Judo, Jeet Kune do, Karate, Fitness, Basket, Volley, Ποδόσφαιρο. Δηλαδή για σχεδόν για κάθε αθλητή επαγγελματία η μη!</p>
<p>Τα λάστιχα γυμναστικής της AMILA είναι κατασκευασμένα από φυσικό Latex, και διακρίνονται για την ιδιαίτερη αντοχή τους ακόμα και σε επαγγελματικό επίπεδο, ενώ χρησιμοποιούνται από πάρα πολλούς αθλητές και γυμναστές. Με την υψηλή της εξειδίκευση, η εταιρία AMILA, παρέχει πάρα πολλές λύσεις και προτάσεις προσαρμοσμένες στις ανάγκες του καθενός.</p>
<p>Διαθέσιμο σε 3 σετ αντιστάσεων</p>
<table style=""width: 160px; height: 70px;"" border=""1"">
<tbody>
<tr>
<td>
<p align=""center"">Κωδικός</p>
</td>
<td>
<p align=""center"">Αντίσταση</p>
</td>
</tr>
<tr>
<td>
<p align=""center"">88183</p>
</td>
<td>
<p align=""center"">Μαλακό</p>
</td>
</tr>
<tr>
<td>
<p align=""center"">88184</p>
</td>
<td>
<p align=""center"">Μεσαίο</p>
</td>
</tr>
<tr>
<td>
<p align=""center"">88185</p>
</td>
<td>
<p align=""center"">Σκληρό</p>
</td>
</tr>
</tbody>
</table>
<p></body></html></p>
",,36.8,36.8,AMILA, Fitness; Γενική Ενδυνάμωση; Λάστιχα Αντίστασης,20,A,https://madfit.gr/wp-content/uploads/2024/02/88183.jpg,,
6087,13042-83065,,Βερμούδα Αδυνατίσματος Deluxe S,,,32.9,32.9,AMILA, Fitness; Αποκατάσταση; Ρουχισμός Αδυνατίσματος,122,A,"https://madfit.gr/wp-content/uploads/2024/02/83065.jpg,https://madfit.gr/wp-content/uploads/2024/02/83065_1.jpg",,
6090,22684-43958,,Αποθηκευτικό Rack για 60 Αλτηράκια Βινυλίου,"<p>Διατηρήστε τον χώρο σας όμορφο, καθαρό και τακτοποιημένο, ενώ παράλληλα προστατεύτε τον εξοπλισμός σας με το Rack για Pump Set. Αποθηκεύστε έως 60 αλτηράκια βινυλίου</p>
",,216,216,Aerobic, AMILA; Fitness; Storage - Rack Aerobic,0,A,"https://madfit.gr/wp-content/uploads/2024/02/43958.jpg,https://madfit.gr/wp-content/uploads/2024/02/43958_1-scaled.jpg,https://madfit.gr/wp-content/uploads/2024/02/43958_2-scaled.jpg",,
6094,19788-48183,,Λάστιχο Αντίστασης AMILA GymBand 1.2m Heavy,"<p><html><head></head><body></p>
<p>Τα λάστιχα AMILA GymBand είναι μήκους 1,2 μέτρων για να μπορείτε να εκτελέσετε ένα πλήθος ασκήσεων. Μπορείτε να δείτε και τα βίντεο των ασκήσεων πατώντας <a href=""https://www.youtube.com/watch?v=dWRgr82mUT4&amp;list=PLPxlUFlD0pDf9QukAEcvG31p1e5fB1ICY"">εδώ</a>. Συνδυάστε το AMILA GymBand με το άγκιστρο πόρτας AMILA (Κωδ 88174), για να μπορείτε να εκτελέσετε πιο εύκολα ακόμα περισσότερες ασκήσεις.</p>
<p>
Η προπόνηση με αντιστάσεις έχει αποδειχθεί ότι δυναμώνει τους μυς, αυξάνει την αντοχή και «μπουστάρει» την ταχύτητα. Επίσης είναι ιδανικά για ασκήσεις αποκατάστασης αλλά και διεύρυνσης του εύρους κίνησης. Εύκολο στην μεταφορά μπορείτε να το έχετε μαζί σας στο γυμναστήριο, στο σπίτι ή και έξω. Ξεκινήστε σήμερα την προπόνηση σας αγοράζοντας ένα λάστιχο αντίστασης</p>
<p>Τα λάστιχα γυμναστικής της AMILA είναι κατασκευασμένα από φυσικό Latex, και διακρίνονται για την ιδιαίτερη αντοχή τους ακόμα και σε επαγγελματικό επίπεδο, ενώ χρησιμοποιούνται από πάρα πολλούς αθλητές και γυμναστές. Με την υψηλή της εξειδίκευση, η εταιρία AMILA, παρέχει πάρα πολλές λύσεις και προτάσεις προσαρμοσμένες στις ανάγκες του καθενός.</p>
<p>Τα λάστιχα αντίστασης AMILA® GymBand είναι διαθέσιμα σε 5 αντιστάσεις</p>
<table border=""1"" style=""border-collapse: collapse;"">
<tbody>
<tr>
<td>
<p align=""center"">Κωδικός</p>
</td>
<td>
<p align=""center"">Χρώμα</p>
</td>
<td>
<p align=""center"">Αντίσταση</p>
</td>
<td>
<p align=""center"">Αντίσταση (Kg) 200-450%</p>
</td>
</tr>
<tr>
<td>
<p align=""center"">48180</p>
</td>
<td>
<p align=""center"">Κίτρινο</p>
</td>
<td>
<p align=""center"">Ultra Light</p>
</td>
<td>
<p align=""center"">2,4 - 5,9</p>
</td>
</tr>
<tr>
<td>
<p align=""center"">48181</p>
</td>
<td>
<p align=""center"">Πράσινο</p>
</td>
<td>
<p align=""center"">Light</p>
</td>
<td>
<p align=""center"">3,65 - 8,45</p>
</td>
</tr>
<tr>
<td>
<p align=""center"">48182</p>
</td>
<td>
<p align=""center"">Κόκκινο</p>
</td>
<td>
<p align=""center"">Medium</p>
</td>
<td>
<p align=""center"">4,25 - 10</p>
</td>
</tr>
<tr>
<td>
<p align=""center"">48183</p>
</td>
<td>
<p align=""center"">Μπλε</p>
</td>
<td>
<p align=""center"">Heavy</p>
</td>
<td>
<p align=""center"">5,25 - 12,75</p>
</td>
</tr>
<tr>
<td>
<p align=""center"">48184</p>
</td>
<td>
<p align=""center"">Μαύρο</p>
</td>
<td>
<p align=""center"">Ultimate</p>
</td>
<td>
<p align=""center"">6,8 - 17,3</p>
</td>
</tr>
</tbody>
</table>
<p></p>
<p></p>
<p></body></html></p>
",,4.2,4.2,AMILA, Fitness; Γενική Ενδυνάμωση; Λάστιχα Αντίστασης,1172,A,"https://madfit.gr/wp-content/uploads/2024/02/48183-scaled.jpg,https://madfit.gr/wp-content/uploads/2024/02/48183_1-scaled.jpg,https://madfit.gr/wp-content/uploads/2024/02/48183_2.jpg,https://madfit.gr/wp-content/uploads/2024/02/48183_3.jpg",,
6104,21209-42005,,"Μπαλάκι Squash Wish γρήγορο, μπλε",,,4.5,4.5,AMILA, Badminton - Squash - Padel; Sports; Squash,392,A,"https://madfit.gr/wp-content/uploads/2024/02/42005.jpg,https://madfit.gr/wp-content/uploads/2024/02/42005_1.jpg,https://madfit.gr/wp-content/uploads/2024/02/42005_2.jpg",,
6108,21311-42884,,Τραπέζι Ping Pong Εσωτερικού Χώρου Stag Americas Μπλε,,,853,853,AMILA, Ping-Pong; Sports; Τραπέζια Ping-Pong,5,A,"https://madfit.gr/wp-content/uploads/2024/02/42884.jpg,https://madfit.gr/wp-content/uploads/2024/02/42884_1.jpg,https://madfit.gr/wp-content/uploads/2024/02/42884_2.jpg,https://madfit.gr/wp-content/uploads/2024/02/42884_3.jpg",,
6113,21384-41825,,Μπάλα Beach Volley Mikasa VXS-SD,,,21.9,21.9,AMILA, Sports; Volley; Μπάλες Volley,353,A,https://madfit.gr/wp-content/uploads/2024/02/41825.jpg,,
6115,21452-88232,,Λάστιχο Αντίστασης Sanctband Loop Band Μεσαίο,"<p><html><head></head><body></p>
<p>Τα Loop Band της Sanctband είναι πολύ υψηλής ποιότητας στρογγυλά λάστιχα αντίστασης. Μικρά, ελαφριά και εύκολα στην μεταφορά τους είναι το τέλειο συμπλήρωμα στις προπονήσεις σας όπου και αν είστε.</p>
<p>Λόγω του μικρού τους μήκους (33 εκατοστά), τα Loop Band έχουν μικρότερο εύρος κίνησης και μπορούν εύκολα να φορεθούν στο χέρι ή να τυλιχθεί γύρω από το πόδια, τους αστραγάλους ή τα γόνατα. Μπορούν να χρησιμοποιηθούν για να στοχεύσουν και να απομονώσουν μικρότερες μυϊκές ομάδες, με στόχο την αποθεραπεία ή και την ενδυνάμωση ανάλογα με την άσκηση, προσθέτοντας ένταση και ποικιλία σε υφιστάμενες ασκήσεις που ενεργοποιούν τον μεταβολισμό. Για τα μεγάλα super loop band δείτε την σειρά της Sanctband με το όνομα Super Loop Band (π.χ. Κωδικοί: 88207, 88208 κ.α.). Σε αντίθεση με τα μακρύτερα Super Loop Band τα μικρότερα (Loop Band) στοχεύουν περισσότερο στην ταχύτητα και την εκρηκτικότητα.</p>
<p>Τα Sanctband Loop Band είναι διαθέσιμα σε 4 επίπεδα αντίστασης τα οποία διαφοροποιούνται ανάλογα με το χρώμα. Κανένα κείμενο δεν μπορεί να αντικαταστήσει την πραγματική αίσθηση της ποιότητας της Sanctband. Για αυτό σας ενθαρρύνουμε να αγοράσετε το δικό σας λάστιχο σήμερα, είμαστε σίγουροι ότι θα μείνετε έκπληκτοι από την ποιότητα.</p>
<p>Δείτε το βίντεο με τα Sanctband Loop Band πατώντας <a href=""https://www.youtube.com/watch?v=ZLDT5OR2Ag0&amp;list=PLPxlUFlD0pDeYhhks4QQtKaEH6nHcbfb0&amp;index=6"">εδώ</a></p>
<p></body></html></p>
",,4,4,AMILA, Fitness; Γενική Ενδυνάμωση; Λάστιχα Αντίστασης,700,A,"https://madfit.gr/wp-content/uploads/2024/02/88232.jpg,https://madfit.gr/wp-content/uploads/2024/02/88232_1.jpg,https://madfit.gr/wp-content/uploads/2024/02/88232_2.jpg,https://madfit.gr/wp-content/uploads/2024/02/88232_3-scaled.jpg",,
