Product code,Language,Product id,Category,List price,Price,Weight,Quantity,Min quantity,Shipping freight,Date added,Downloadable,Files,Ship downloadable,Inventory tracking,Free shipping,Zero price action,Thumbnail,Detailed image,Product name,Description,Meta keywords,Meta description,Search words,Page title,Taxes,Features,Options,Secondary categories,Pay by points,Override points,Override exchange rate,SEO name,Short description,Status,Popularity,Max quantity,Quantity step,List qty count,Out of stock actions,Promo text,Product URL,Image URL,Images,Detailed image URL,Items in box,Box size,Usergroup IDs,Available since,Product availability,Options type,Exceptions type,Store,Attachments,Variation group code,Variation group id,Variation parent product id,Variation sub group id,Variation set as default,test (Variation feature),test2 (Variation feature),Βάρος (Variation feature),Γεύση (Variation feature),Μάρκα (Variation feature),Μήκος (Variation feature),Πλάτος (Variation feature),Συσκευασία (Variation feature),Ύψος (Variation feature),Discussion,Unit name,Units in product,Show price per X units
"","el","1","test","19.00","15.00","0.000","1","","0.00","20 Mar 2025 11:23:08","N","","N","","N","","","1/exim/backup/images/PRE-WORKOUT.jpg#{[el]:;}","test proteini","","","","","","","","","","Y","N","N","test","","A","80","","","","N","","http://192.168.1.18/madfit_gr/test/test/","http://192.168.1.18/madfit_gr/images/thumbnails/280/280/detailed/8/PRE-WORKOUT.jpg","http://192.168.1.18/madfit_gr/images/detailed/8/PRE-WORKOUT.jpg///http://192.168.1.18/madfit_gr/images/detailed/8/Screenshot_7_5plk-q6.png","http://192.168.1.18/madfit_gr/images/detailed/8/PRE-WORKOUT.jpg","min:0;max:0","length:0;width:0;height:0","0","","in stock","","","CS-Cart","","","","","","","","","","","","","","","","D","","0.000","0.000"
"","el","2","test","13.00","10.00","0.000","1","","0.00","21 Mar 2025 11:43:41","N","","N","","N","","","1/exim/backup/images/cda28bb6bae1e41063685db0d67b3659_46114-barbell-rack-it7027_1024_768___.jpg#{[el]:;}","test [CLONE]","","","","","","ΦΠΑ","","","","Y","N","N","test-clone","","A","39","","","","N","","http://192.168.1.18/madfit_gr/test/test-clone/","http://192.168.1.18/madfit_gr/images/thumbnails/280/398/detailed/8/cda28bb6bae1e41063685db0d67b3659_46114-barbell-rack-it7027_1024_768___.jpg","http://192.168.1.18/madfit_gr/images/detailed/8/cda28bb6bae1e41063685db0d67b3659_46114-barbell-rack-it7027_1024_768___.jpg","http://192.168.1.18/madfit_gr/images/detailed/8/cda28bb6bae1e41063685db0d67b3659_46114-barbell-rack-it7027_1024_768___.jpg","min:0;max:0","length:0;width:0;height:0","0","","in stock","","","CS-Cart","","","","","","","","","","","","","","","","D","","0.000","0.000"
"","el","3","test","11.00","10.00","0.000","1","","0.00","21 Mar 2025 11:43:44","N","","N","","N","","","1/exim/backup/images/VEGAN.jpg#{[el]:;}","test [CLONE] [CLONE]","","","","","","ΦΠΑ","","","","Y","N","N","test-clone-clone","","A","30","","","","N","","http://192.168.1.18/madfit_gr/test/test-clone-clone/","http://192.168.1.18/madfit_gr/images/thumbnails/280/280/detailed/8/VEGAN.jpg","http://192.168.1.18/madfit_gr/images/detailed/8/VEGAN.jpg","http://192.168.1.18/madfit_gr/images/detailed/8/VEGAN.jpg","min:0;max:0","length:0;width:0;height:0","0","","in stock","","","CS-Cart","","","","","","","","","","","","","","","","D","","0.000","0.000"
"","el","4","test","12.00","10.00","0.000","1","","0.00","21 Mar 2025 11:43:47","N","","N","","N","","","1/exim/backup/images/Screenshot_5_3na2-u6_b0k0-73_f8qb-yo.png#{[el]:;}","test [CLONE] [CLONE] [CLONE]f af a faf asasdasd ads asd asda sd","","","","","","ΦΠΑ","","","","Y","N","N","test-clone-clone-clone","","A","40","","","","N","","http://192.168.1.18/madfit_gr/test/test-clone-clone-clone/","http://192.168.1.18/madfit_gr/images/thumbnails/280/289/detailed/8/Screenshot_5_3na2-u6_b0k0-73_f8qb-yo.png","http://192.168.1.18/madfit_gr/images/detailed/8/Screenshot_5_3na2-u6_b0k0-73_f8qb-yo.png","http://192.168.1.18/madfit_gr/images/detailed/8/Screenshot_5_3na2-u6_b0k0-73_f8qb-yo.png","min:0;max:0","length:0;width:0;height:0","0","","in stock","","","CS-Cart","","","","","","","","","","","","","","","","D","","0.000","0.000"
"sku1","el","5","test","20.00","10.00","0.000","1","","0.00","21 Mar 2025 11:43:49","N","","N","","N","","","1/exim/backup/images/Screenshot_7.png#{[el]:;}","test [CLONE] [CLONE] [CLONE]","<p><strong>Lorem Ipsum</strong> is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries</p>","","","","","ΦΠΑ","test: S[test2]","","","Y","N","N","test-clone-clone-clone-el","","A","88","","","","N","","http://192.168.1.18/madfit_gr/test/test-clone-clone-clone-el/","http://192.168.1.18/madfit_gr/images/thumbnails/280/265/detailed/8/Screenshot_7.png","http://192.168.1.18/madfit_gr/images/detailed/8/Screenshot_7.png///http://192.168.1.18/madfit_gr/images/detailed/8/HMB.jpg","http://192.168.1.18/madfit_gr/images/detailed/8/Screenshot_7.png","min:0;max:0","length:0;width:0;height:0","0","","in stock","","","CS-Cart","","PV-E5810390E","1","0","1_5","Y","test2","","","","","","","","","D","","0.000","0.000"
"","el","6","test","25.00","10.00","0.000","1","","0.00","21 Mar 2025 11:43:51","N","","N","","N","","","1/exim/backup/images/Screenshot_1.png#{[el]:;}","test [CLONE] [CLONE] [CLONE]","","","","","","ΦΠΑ","test2: S[test ]","","","Y","N","N","test-clone-clone-clone-el-2","","A","47","","","","N","","http://192.168.1.18/madfit_gr/test/test-clone-clone-clone-el-2/","http://192.168.1.18/madfit_gr/images/thumbnails/280/374/detailed/8/Screenshot_1.png","http://192.168.1.18/madfit_gr/images/detailed/8/Screenshot_1.png","http://192.168.1.18/madfit_gr/images/detailed/8/Screenshot_1.png","min:0;max:0","length:0;width:0;height:0","0","","in stock","","","CS-Cart","","PV-D95A1E994","2","0","2_6","Y","","test ","","","","","","","","D","","0.000","0.000"
"67E122EC49DE3","el","7","test","15.00","10.00","0.000","1","","0.00","24 Mar 2025 11:16:30","N","","N","","N","","","1/exim/backup/images/Tavoladadisegno1_99597cb1-cd07-4d1f-8eb2-5fdfe70ed12a1.jpg#{[el]:;}","test [CLONE] [CLONE] [CLONE]","<p><strong>Lorem Ipsum</strong> is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries</p>","","","","","ΦΠΑ","test: S[test1]","","","Y","N","N","test-clone-clone-clone-el-3","","D","88","","","","N","","http://192.168.1.18/madfit_gr/test/test-clone-clone-clone-el/?variation_id=7","http://192.168.1.18/madfit_gr/images/thumbnails/280/280/detailed/8/Tavoladadisegno1_99597cb1-cd07-4d1f-8eb2-5fdfe70ed12a1.jpg","http://192.168.1.18/madfit_gr/images/detailed/8/Tavoladadisegno1_99597cb1-cd07-4d1f-8eb2-5fdfe70ed12a1.jpg///http://192.168.1.18/madfit_gr/images/detailed/8/Screenshot_1_ard1-po.png","http://192.168.1.18/madfit_gr/images/detailed/8/Tavoladadisegno1_99597cb1-cd07-4d1f-8eb2-5fdfe70ed12a1.jpg","min:0;max:0","length:0;width:0;height:0","0","","in stock","","","CS-Cart","","PV-E5810390E","1","5","1_5","N","test1","","","","","","","","","D","","0.000","0.000"
"25359-98803","el","5939","AMILA","4.90","4.90","0.000","272","","0.00","01 Apr 2025 10:22:17","N","","N","","N","","","1/exim/backup/images/98803-scaled.jpg#{[el]:;}","Χούλα-Χουπ HQ 60cm - Φ19mm - 230gr, Κόκκινο","<p><html><head></head><body></p><p>Κορυφαίας ποιότητας στεφάνι Χούλα Χουπ κατασκευασμένο από HDPE (High Density PE), δηλαδή υψηλής πυκνότητας πολυαιθυλένιο το οποίο δεν συστρέφεται όταν τεντωθεί.</p><p>Τα στεφάνια είναι&nbsp;60 εκατοστών διαμέτρου και 19 χιλιοστών πάχους κυκλικής τομής με συνολικό βάρος 230 γραμμάρια.</p><p></body></html></p>","","","","","","","","Sports; Ρυθμική Γυμναστική; Στεφάνια Ρυθμικής","N","N","N","khoyla-khoyp-hq-60cm-f19mm-230gr-kokkino","","A","0","","","","N","","http://192.168.1.18/madfit_gr/amila/khoyla-khoyp-hq-60cm-f19mm-230gr-kokkino/","http://192.168.1.18/madfit_gr/images/thumbnails/280/280/detailed/29/98803-scaled.jpg","http://192.168.1.18/madfit_gr/images/detailed/29/98803-scaled.jpg","http://192.168.1.18/madfit_gr/images/detailed/29/98803-scaled.jpg","min:0;max:0","length:0;width:0;height:0","0","","in stock","","","CS-Cart","","","","","","","","","","","","","","","","D","","0.000","1.000"
"67E1670A9A544","el","8","test","11.00","10.00","0.000","1","","0.00","24 Mar 2025 16:07:07","N","","N","","N","","","1/exim/backup/images/Screenshot_1.png#{[el]:;}","test [CLONE] [CLONE] [CLONE]","","","","","","ΦΠΑ","test2: S[test test]","","","Y","N","N","test-clone-clone-clone-el-4","","D","47","","","","N","","http://192.168.1.18/madfit_gr/test/test-clone-clone-clone-el-2/?variation_id=8","http://192.168.1.18/madfit_gr/images/thumbnails/280/374/detailed/8/Screenshot_1.png","http://192.168.1.18/madfit_gr/images/detailed/8/Screenshot_1.png","http://192.168.1.18/madfit_gr/images/detailed/8/Screenshot_1.png","min:0;max:0","length:0;width:0;height:0","0","","in stock","","","CS-Cart","","PV-D95A1E994","2","6","2_6","N","","test test","","","","","","","","D","","0.000","0.000"
"402198302","el","43","Reformers","0.00","725.00","0.000","1","","0.00","28 Mar 2025 14:17:22","N","","N","","N","","","1/exim/backup/images/madfit-ladder-barrel-steel.jpg#{[el]:;}","Ladder Barrel (Steel)","<p><strong>Το Ladder Barrel (Steel)</strong> με <strong>ορθοπεδικό σφουγγάρι</strong> παρέχει άνεση και υποστήριξη με το καμπυλό σχεδιασμό του.<br /><br />Το <strong>αυξημένο πλάτος</strong> και η <strong>όρθια πλατφόρμα</strong> διευκολύνουν τις ασκήσεις του βαρελιού.</p><p><strong>Ποιοτικό έπιπλο</strong> με <strong>συμπαγή σκελετό</strong> από ειδικά κατασκευασμένο ξύλο.</p><p>Νέες δυνατότητες κίνησης με <strong>μεγάλη απόσταση ολίσθησης</strong>.</p><p>Ανώτερη άνεση σε <strong>ορθοπεδικό σφουγγάρι</strong> και <strong>αντιολισθητική επίστρωση βινυλίου</strong>.</p><p> </p>","Ladder Barrel, Steel Ladder Barrel, Pilates Ladder Barrel, Επαγγελματικά όργανα Pilates, Καμπυλό Ladder Barrel","Το Ladder Barrel (Steel) προσφέρει άνεση και υποστήριξη με το καμπυλό σχεδιασμό του και το ορθοπεδικό σφουγγάρι. Με αυξημένο πλάτος και αντιολισθητική επένδυση, είναι ιδανικό για άνετες και ασφαλείς ασκήσεις Pilates.","","Ladder Barrel (Steel) - Επαγγελματικό Όργανο Pilates ","","Ύψος: S[120]; Πλάτος: S[70]; Μήκος: S[60]","","","Y","N","N","ladder-barrel-steel","","A","0","","","","N","","http://192.168.1.18/madfit_gr/reformers/ladder-barrel-steel/","http://192.168.1.18/madfit_gr/images/thumbnails/280/280/detailed/8/madfit-ladder-barrel-steel.jpg","http://192.168.1.18/madfit_gr/images/detailed/8/madfit-ladder-barrel-steel.jpg","http://192.168.1.18/madfit_gr/images/detailed/8/madfit-ladder-barrel-steel.jpg","min:0;max:0","length:0;width:0;height:0","0","","in stock","","","CS-Cart","","","","","","","","","","","","60","70","","120","D","","0.000","0.000"
