id,sku,Ενέργεια σε περίπτωση μηδενικού α,quantity,Παρακολούθηση αποθέματος 
13806,,B ,1,D 
13807,,B ,1,D 
4614,,B ,1,D 
4609,00999,B ,1,D 
4605,,B ,1,D 
4325,EL-92356,B ,1,D 
4265,EL-46130,B ,1,D 
4261,EL-46113,B ,1,D 
4263,EL-46129,B ,1,D 
4259,EL-46114,B ,1,D 
4257,EL-46193,B ,1,D 
4247,EL-46141,B ,1,D 
2979,EL-88234,B ,1,D 
2975,EL-88235,B ,1,D 
2971,EL-88236,B ,1,D 
2965,EL-88273,B ,1,D 
2967,EL-88237,B ,1,D 
2963,EL-88274,B ,1,D 
2959,EL-88276,B ,1,D 
2961,EL-88275,B ,1,D 
2955,EL-88278,B ,1,D 
2951,EL-88279,B ,1,D 
2947,EL-88265,B ,1,D 
2942,EL-88266,B ,1,D 
2937,EL-88267,B ,1,D 
2932,EL-88268,B ,1,D 
2927,EL-88269,B ,1,D 
2922,EL-88220,B ,1,D 
2918,EL-88221,B ,1,D 
2914,EL-88222,B ,1,D 
2910,EL-88223,B ,1,D 
2906,EL-88224,B ,1,D 
2481,EL-43375,B ,1,D 
2483,EL-43373,B ,1,D 
2479,EL-43327,B ,1,D 
2475,EL-43392,B ,1,D 
2462,EL-43369,B ,1,D 
2372,EL-43395,B ,1,D 
2365,EL-43396,B ,1,D 
2310,EL-43388,B ,1,D 
2283,EL-44817,B ,1,D 
2215,EL-44827,B ,1,D 
2202,EL-44816,B ,1,D 
2197,EL-44819,B ,1,D 
2188,EL-46181,B ,1,D 
2183,EL-46162,B ,1,D 
2181,EL-46178,B ,1,D 
2179,EL-46186,B ,1,D 
2173,EL-46185,B ,1,D 
2175,EL-46333,B ,1,D 
2177,EL-46189,B ,1,D 
2169,EL-46133,B ,1,D 
2171,EL-46150,B ,1,D 
2167,EL-43383,B ,1,D 
2163,EL-46370,B ,1,D 
2165,EL-46259,B ,1,D 
2156,EL-46373,B ,1,D 
2147,EL-46176,B ,1,D 
2149,EL-46188,B ,1,D 
2143,EL-46165,B ,1,D 
2145,EL-46171,B ,1,D 
2139,EL-93508,B ,1,D 
2141,EL-46121,B ,1,D 
2129,EL-IFP1707,B ,1,D 
2126,EL-IFP1619,B ,1,D 
2107,EL-46125,B ,1,D 
2101,EL-46359,B ,1,D 
2103,EL-46116,B ,1,D 
2105,EL-46257,B ,1,D 
2081,EL-44750,B ,1,D 
2060,EL-44707,B ,1,D 
2052,EL-44708,B ,1,D 
2018,EL-SL7047,B ,1,D 
1958,EL-44704,B ,1,D 
1955,EL-44706,B ,1,D 
1922,EL-44709,B ,1,D 
1919,EL-44733,B ,1,D 
1910,EL-44717,B ,1,D 
1899,EL-44736,B ,1,D 
1890,EL-91640,B ,1,D 
1869,EL-46170,B ,1,D 
1857,EL-46170Q,B ,1,D 
1826,EL-46374,B ,1,D 
1812,EL-92355,B ,1,D 
